swift_ref,sender,receiver,amount_egp,amount_usd,beneficiary,ts
,,,42369.48,2834.92,,2026-10-22
,,,12103.18,48653.52,,2024-01-23
,,,45919.57,41788.16,,2026-04-20
,,,45409.1,42537.55,,2025-07-06
,,,30477.84,32666.42,,2025-06-14
,,,29479.97,43003.72,,2026-10-13
,,,34249.53,47468.64,,2025-01-07
,,,34203.74,41411.9,,2023-02-16
,,,12800.37,2619.93,,2023-04-23
,,,39989.97,38139.05,,2023-06-02
,,,17658.09,28177.12,,2024-05-18
,,,35012.58,4551.6,,2023-06-06
,,,3240.53,31583.43,,2024-02-10
,,,13556.13,9180.59,,2024-12-07
,,,27490.73,6730.41,,2026-04-08
,,,31764.52,22399.74,,2025-11-03
,,,2031.98,29377.24,,2024-05-22
,,,19072.35,45835.25,,2024-07-18
,,,38557.95,28950.27,,2024-08-03
,,,8639.67,40654.9,,2024-09-15
,,,20315.8,28283.81,,2023-12-07
,,,5122.75,48283.33,,2025-12-05
,,,35273.25,12487.4,,2026-07-20
,,,11890.47,49421.98,,2026-11-07
,,,49152.18,15330.59,,2026-02-16
,,,40021.99,32037.23,,2023-06-14
,,,41806.52,36373.15,,2023-12-14
,,,33854.84,22294.35,,2023-03-05
,,,47803.45,18417.91,,2023-03-08
,,,30475.62,26184.04,,2024-01-28
,,,15790.48,20899.14,,2025-08-24
,,,44839.4,2467.67,,2023-03-02
,,,23103.33,42366.21,,2024-02-10
,,,29387.1,9292.14,,2023-05-15
,,,12536.75,14217.34,,2025-08-14
,,,712.05,35230.66,,2024-01-22
,,,10703.49,7818.71,,2026-09-12
,,,17561.81,3958.64,,2023-09-23
,,,23337.44,16542.38,,2026-05-18
,,,19251.09,15982.2,,2026-08-04
,,,49511.46,6902.32,,2026-02-06
,,,28898.01,14784.44,,2023-11-02
,,,24590.8,21453.3,,2025-08-06
,,,33557.73,27104.64,,2025-04-01
,,,10222.15,7594.49,,2023-05-15
,,,30550.39,31419.2,,2026-04-13
,,,15132.85,36966.07,,2026-03-02
,,,35020.43,22033.1,,2024-09-08
,,,14973.01,45091.57,,2025-09-17
,,,1162.44,29294.76,,2026-02-18
,,,23196.43,41766.48,,2025-12-13
,,,18367.42,34354.67,,2026-01-24
,,,3720.02,32705.36,,2024-10-03
,,,20521.43,29687.94,,2026-10-07
,,,41320.05,37709.52,,2025-03-20
,,,34618.84,42738.26,,2023-02-03
,,,23923.74,15204.76,,2024-08-11
,,,11595.35,45722.66,,2024-04-26
,,,35965.11,2778.7,,2023-07-20
,,,19828.69,7463.5,,2025-03-19
,,,4725.26,46599.71,,2023-05-25
,,,1535.57,796.33,,2024-05-03
,,,36212.2,40696.06,,2023-07-26
,,,10148.89,20377.38,,2026-10-25
,,,15863.3,37998.73,,2024-11-22
,,,18751.06,23465.98,,2026-02-12
,,,17185.67,29090.5,,2023-01-28
,,,49581.46,48429.25,,2025-12-19
,,,25277.82,32753.09,,2025-04-17
,,,22926.2,20780.88,,2023-12-13
,,,2648.33,28981.02,,2024-08-28
,,,30720.63,29776.48,,2025-02-16
,,,8428.32,3846.1,,2026-01-12
,,,11558.77,38155.08,,2023-02-12
,,,15449.26,20059.29,,2023-09-28
,,,13108.54,9086.8,,2026-10-28
,,,23861.22,17488.71,,2023-01-07
,,,32307.31,28116.43,,2023-03-08
,,,24144.98,14690.74,,2023-12-03
,,,24771.45,28849.61,,2025-02-03
,,,35853.29,48457.07,,2024-05-20
,,,27752.17,2249.23,,2023-06-08
,,,48235.74,38654.03,,2024-03-16
,,,24756.95,29974.13,,2026-11-10
,,,19915.84,43777.2,,2023-09-28
,,,6850.36,12643.13,,2025-09-21
,,,48980.21,14043.27,,2026-06-27
,,,24798.25,47648.64,,2025-09-13
,,,49525.23,4315.34,,2025-03-12
,,,568.86,40171.13,,2026-12-25
,,,15845.12,16517.6,,2025-12-10
,,,34401.11,47822.66,,2023-08-04
,,,16334.41,34993.95,,2025-02-23
,,,45265.23,39193.91,,2026-07-20
,,,17866.9,26990.23,,2026-06-05
,,,14991.88,32134.87,,2025-07-28
,,,38111.53,34623.12,,2025-04-11
,,,25202.54,7726.71,,2025-02-22
,,,20441.4,22284.74,,2025-04-11
,,,23243.5,38830.82,,2023-07-15
,,,32381.73,25676.49,,2023-07-03
,,,24495.1,45750.96,,2025-11-27
,,,44050.73,20417.24,,2023-09-18
,,,30061.24,13558.24,,2026-09-14
,,,28315.54,19391.4,,2023-04-23
,,,22418.34,38306.3,,2023-07-18
,,,984.82,30540.08,,2025-08-17
,,,48713.94,31430.7,,2026-02-19
,,,27324.81,41532.13,,2023-11-27
,,,42058.85,7122.99,,2025-12-17
,,,22469.74,1006.04,,2023-07-01
,,,32251.78,15054.34,,2025-02-09
,,,2635.48,7267.81,,2024-06-19
,,,22688.45,240.58,,2023-04-22
,,,13817.09,25982.55,,2026-10-10
,,,11980.47,41325.01,,2023-02-11
,,,14687.6,27319.46,,2023-09-13
,,,33385.86,17025.86,,2026-01-05
,,,42870.09,47397.68,,2024-06-25
,,,15003.77,38710.68,,2025-05-10
,,,17373.02,30725.68,,2025-11-24
,,,15563.21,42479.2,,2026-04-28
,,,65.06,10224.78,,2025-06-19
,,,6828.27,29273.35,,2024-06-21
,,,9397.54,11620.25,,2026-11-15
,,,13956.85,2042.41,,2025-01-25
,,,36039.18,11107.68,,2026-01-11
,,,31322.29,40281.37,,2023-03-19
,,,33692.05,43406.82,,2023-06-04
,,,21263.17,2885.67,,2024-10-04
,,,14732.6,15396.45,,2026-03-07
,,,47972.62,47818.83,,2024-12-28
,,,39656.36,11011.06,,2024-06-03
,,,2688.79,13543.97,,2025-07-04
,,,36631.28,10016.2,,2024-01-01
,,,23637.04,27088.61,,2025-01-08
,,,48010.98,18224.76,,2026-09-05
,,,34580.35,22731.72,,2024-03-22
,,,3046.06,22363.25,,2023-06-01
,,,12567.11,7287.0,,2023-08-15
,,,22168.71,15298.47,,2026-03-04
,,,39661.57,10258.66,,2026-06-09
,,,37821.82,8602.49,,2023-04-11
,,,10807.72,32914.87,,2023-08-27
,,,5081.09,24848.19,,2023-01-02
,,,6066.01,8576.42,,2026-01-14
,,,5489.15,18095.85,,2025-08-04
,,,36735.02,13339.23,,2024-05-02
,,,1990.76,7563.24,,2023-11-02
,,,44867.03,19380.9,,2023-10-05
,,,38055.73,27334.45,,2025-03-28
,,,45001.97,17168.76,,2026-06-09
,,,10204.6,16342.66,,2026-07-17
,,,18973.2,28957.12,,2023-10-04
,,,18644.18,1352.41,,2023-07-15
,,,21846.75,27437.34,,2024-06-24
,,,27975.05,33654.07,,2026-10-08
,,,26092.66,33442.62,,2025-07-17
,,,10105.78,18632.27,,2025-09-15
,,,33243.18,24630.14,,2026-07-21
,,,22798.96,3425.51,,2026-05-01
,,,32111.9,348.74,,2023-11-07
,,,33719.24,38343.39,,2023-03-18
,,,11560.28,19211.63,,2024-01-03
,,,3402.33,19789.64,,2026-11-08
,,,17967.49,11871.19,,2026-03-24
,,,44767.26,36729.43,,2024-04-20
,,,11696.15,3552.28,,2023-11-03
,,,21806.94,12463.29,,2024-03-18
,,,10919.05,43446.13,,2023-11-08
,,,31792.1,4214.43,,2026-09-16
,,,47227.1,30362.67,,2024-06-26
,,,2724.46,2733.51,,2024-01-18
,,,32340.41,7544.38,,2023-02-24
,,,38222.87,15270.94,,2026-08-09
,,,40899.67,32712.31,,2025-10-10
,,,19803.7,34273.82,,2024-06-10
,,,45834.36,43338.36,,2024-12-04
,,,47241.6,17816.94,,2026-12-10
,,,21772.43,47490.8,,2025-08-18
,,,46410.87,7728.79,,2025-07-15
,,,49540.56,46079.44,,2025-08-22
,,,3370.61,11323.65,,2026-01-13
,,,3235.94,15281.35,,2023-05-11
,,,21400.7,10663.5,,2024-04-24
,,,25260.21,30108.84,,2023-05-25
,,,19624.23,34617.66,,2024-02-08
,,,44204.14,5919.54,,2023-05-22
,,,43051.01,46333.5,,2026-05-01
,,,26246.29,287.76,,2025-07-18
,,,34509.2,38651.02,,2025-06-12
,,,11500.04,49624.43,,2026-10-13
,,,44865.79,18873.94,,2023-05-07
,,,2315.36,44509.05,,2025-02-28
,,,40617.77,24907.46,,2026-02-27
,,,15507.41,20793.73,,2026-06-18
,,,2390.3,5203.0,,2026-02-28
,,,24231.28,48618.07,,2025-03-24
,,,24112.57,16375.17,,2024-04-14
,,,46591.72,33771.1,,2026-03-19
,,,31786.7,25834.85,,2026-09-13
,,,49205.78,46010.49,,2023-03-27
,,,32886.65,43272.55,,2024-05-22
,,,48836.35,20468.83,,2024-03-10
,,,24012.56,731.38,,2024-01-15
,,,5817.82,48614.58,,2023-09-01
,,,25554.93,19373.74,,2024-05-10
,,,34537.86,39013.77,,2025-04-06
,,,21110.29,4352.09,,2026-06-28
,,,43692.68,42261.3,,2024-01-03
,,,24295.32,6613.83,,2025-07-15
,,,29339.24,31364.46,,2023-03-16
,,,14654.51,18431.44,,2025-06-28
,,,8539.83,48162.38,,2026-05-17
,,,35885.34,38578.28,,2023-05-01
,,,27473.86,44153.27,,2025-06-11
,,,33164.69,47209.7,,2023-08-13
,,,27909.3,44686.14,,2026-12-25
,,,33178.83,32899.73,,2023-11-16
